name,Owner,CardText,Mana,Notes,quantity,Rarity
Rest,Aborah (https://www.notion.so/Aborah-b8864a1e32bc418faed2353b10f35790?pvs=21),This companion gains 3 strength,2,This is a slow way to recharge the Aborah. (ethan: we could try making this a 1 mana gain 2 instead. spending 2 mana on this is so tough),3,Starting Deck
Strike,Aborah (https://www.notion.so/Aborah-b8864a1e32bc418faed2353b10f35790?pvs=21),Deal 4 damage,1,X should be higher than what’s on double strike.,3,Starting Deck
Double Strike,Aborah (https://www.notion.so/Aborah-b8864a1e32bc418faed2353b10f35790?pvs=21),Deal 1 damage twice,1,,3,Starting Deck
Pile on,Aborah (https://www.notion.so/Aborah-b8864a1e32bc418faed2353b10f35790?pvs=21),"Deal 4 damage. If the last card played this combat was an attack, gain 1 strength",1,,3,Common
Strength of the Spheres,Aborah (https://www.notion.so/Aborah-b8864a1e32bc418faed2353b10f35790?pvs=21),This Aborah gains 1 strength for each orb it has.,1,"(ethan: cool) ",3,Common
Tempest,Aborah (https://www.notion.so/Aborah-b8864a1e32bc418faed2353b10f35790?pvs=21),Deal 1 damage 4 times,2,"This is more efficient than playing two double strikes, because you lose half the strength. (ethan: I think this could be an uncommon, similar to pummel)",3,Common
Limit Testing,Aborah (https://www.notion.so/Aborah-b8864a1e32bc418faed2353b10f35790?pvs=21),Gain 1 strength. Gain 2 strength instead if this Aborah is at 1 strength or lower.,0,(ethan: I like this one a good bit. I was thinking it could be funny to have a card like clash in our game that can ONLY be played in certain circumstances. this could be the one…then it would probably only be a common),3,Uncommon
Ashen Blade,Aborah (https://www.notion.so/Aborah-b8864a1e32bc418faed2353b10f35790?pvs=21),Deal 1 damage twice. Costs 1 less if you have exhausted a card this turn,1,,3,Uncommon
Rampage,Aborah (https://www.notion.so/Aborah-b8864a1e32bc418faed2353b10f35790?pvs=21),Deal 1 damage for each attack you’ve played this turn,1,"Busted, but it’s a rare card for a reason 🙂",3,Rare
Cathartic Violence,Aborah (https://www.notion.so/Aborah-b8864a1e32bc418faed2353b10f35790?pvs=21),"Ch1 (costs 1): Deal 1 damage twice.
Ch2 (costs 1): Deal 1 damage thrice
Ch3…N (costs 1) Deal 1 damage thrice then gain 2 strength",1,,3,Rare
"Bagrjgeg ",Architect (https://www.notion.so/Architect-2eb3489f9ace4b4b81681b0f4df6f949?pvs=21),Deal 3 damage for each companion on your team with an orb,1,,3,Starting Deck
Crystallize,Architect (https://www.notion.so/Architect-2eb3489f9ace4b4b81681b0f4df6f949?pvs=21),"Give a companion 4 block, then 2 extra block for each orb it has.",1,,3,Starting Deck
Summon Orb,Architect (https://www.notion.so/Architect-2eb3489f9ace4b4b81681b0f4df6f949?pvs=21),Choose a companion on your team. Give them an orb.,1,,3,Starting Deck
Dalde Bance,Architect (https://www.notion.so/Architect-2eb3489f9ace4b4b81681b0f4df6f949?pvs=21),Conjure a shiv from each companion with at least one orb,1,,3,Common
Healing Rage,Architect (https://www.notion.so/Architect-2eb3489f9ace4b4b81681b0f4df6f949?pvs=21),Each unit with at least one orb gets 4 block,1,,3,Common
Fortress,Architect (https://www.notion.so/Architect-2eb3489f9ace4b4b81681b0f4df6f949?pvs=21),"Summon an orb. When exhausted, give an orb to each adjacent unit",1,,3,Common
Empower,Architect (https://www.notion.so/Architect-2eb3489f9ace4b4b81681b0f4df6f949?pvs=21),"For each companion on your team, give it 1 strength if it has at least one orb.",1,,3,Common
Deez Nuts,Architect (https://www.notion.so/Architect-2eb3489f9ace4b4b81681b0f4df6f949?pvs=21),Deal 2 damage to all enemies for each orb on your entire team,2,I think X would need to be 6 or 7. I’m thinking of this as a 2 mana deal 20+,3,Uncommon
Mitosis,Architect (https://www.notion.so/Architect-2eb3489f9ace4b4b81681b0f4df6f949?pvs=21),Each companion with an orb gets another orb,2,(ethan: 😳),3,Uncommon
Consume Orb,Architect (https://www.notion.so/Architect-2eb3489f9ace4b4b81681b0f4df6f949?pvs=21),Consume one orb from target companion. Gain 2 energy and draw 1 card from their deck,1,find a better way to word this later,3,Uncommon
Enhance,Architect (https://www.notion.so/Architect-2eb3489f9ace4b4b81681b0f4df6f949?pvs=21),"Ch1 (costs 1): Increase the damage of all shivs by 1
Ch2 (costs 1): Increase the damage of all shivs by 2
Ch3 (costs 1): Increase the damage of all shivs by 3. Exhaust",1,"The last chapter could also be: each companion on your team conjures a shiv if they have at least one orb.  ",3,Rare
